data,godzina,temp,wilgotnosc_wzgledna,PM1,PM2.5,PM10,szerokosc,latitude,dlugosc,longitude,szerokosc_stopnie,dlugosc_stopnie
170917,160125,14.75,81.05,1,1,4,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160204,14.73,81.48,0,0,0.25,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160243,14.67,81.77,0.25,0,1.25,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160321,14.63,82,0.25,0,1.5,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160400,14.58,82.2,0.75,0.25,1.25,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160439,14.5,82.55,1,0,1,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160517,14.45,82.8,0.5,0,2,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160556,14.48,82.93,0.5,0.5,2.5,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160635,14.48,83.08,1,0.75,3,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160714,14.43,83.18,1.25,0.75,2.75,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160753,14.45,83.28,1,1.25,2,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160831,14.4,83.28,0.5,0.25,1.5,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160910,14.4,83.47,0.25,0.75,4,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,160949,14.38,83.45,1.25,1.25,6.25,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,161028,14.38,83.68,0.25,0.25,1.5,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,161107,14.38,83.78,0.25,0.5,4.75,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,161146,14.32,83.93,0.25,0.25,4.25,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,161225,14.32,83.97,0.25,0,1,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,161303,14.32,84.05,1.5,1,2,5558.8732,N,310.7287,W,55.98122,-3.178811667
